language,description,url
hylang,Hy,http://hylang.org/
i6t,Inform 6 template,http://inform7.com/
icon,Icon,https://www2.cs.arizona.edu/icon
idl,IDL,https://www.l3harrisgeospatial.com/Software-Technology/IDL
idris,Idris,https://www.idris-lang.org/
iex,Elixir iex session,https://elixir-lang.org
igor,Igor,http://www.wavemetrics.com
inform6,Inform 6,http://inform-fiction.org/
inform7,Inform 7,http://inform7.com/
ini,INI,https://en.wikipedia.org/wiki/INI_file
io,Io,http://iolanguage.com/
ioke,Ioke,https://ioke.org/
irc,IRC logs,https://en.wikipedia.org/wiki/Internet_Relay_Chat
isabelle,Isabelle,https://isabelle.in.tum.de/
j,J,http://jsoftware.com/
jags,JAGS,https://mcmc-jags.sourceforge.io
janet,Janet,https://janet-lang.org/
jasmin,Jasmin,http://jasmin.sourceforge.net/
java,Java,https://www.oracle.com/technetwork/java/
javascript,JavaScript,https://www.ecma-international.org/publications-and-standards/standards/ecma-262/
javascript+cheetah,JavaScript+Cheetah,http://www.cheetahtemplate.org/
javascript+django,JavaScript+Django/Jinja,https://www.djangoproject.com/documentation/templates
javascript+lasso,JavaScript+Lasso,https://www.lassosoft.com
javascript+mako,JavaScript+Mako,http://www.makotemplates.org/
javascript+mozpreproc,Javascript+mozpreproc,https://firefox-source-docs.mozilla.org/build/buildsystem/preprocessor.html
javascript+myghty,JavaScript+Myghty,http://www.myghty.org/
javascript+php,JavaScript+PHP,https://www.php.net
javascript+ruby,JavaScript+Ruby,https://github.com/ruby/erb
javascript+smarty,JavaScript+Smarty,https://www.smarty.net/
jcl,JCL,https://en.wikipedia.org/wiki/Job_Control_Language
jlcon,Julia console,https://julialang.org/
jmespath,JMESPath,https://jmespath.org
js+genshitext,JavaScript+Genshi Text,https://genshi.edgewall.org
js+ul4,Javascript+UL4,https://python.livinglogic.de/UL4.html
jsgf,JSGF,https://www.w3.org/TR/jsgf/
jslt,JSLT,https://github.com/schibsted/jslt
json,JSON,https://www.json.org
json5,JSON5,https://json5.org
jsonld,JSON-LD,https://json-ld.org/
jsonnet,Jsonnet,https://jsonnet.org
jsp,Java Server Page,https://projects.eclipse.org/projects/ee4j.jsp
jsx,JSX,https://facebook.github.io/jsx/
julia,Julia,https://julialang.org/
juttle,Juttle,http://juttle.github.io/
k,K,https://code.kx.com
kal,Kal,http://rzimmerman.github.io/kal
kconfig,Kconfig,https://www.kernel.org/doc/html/latest/kbuild/kconfig-language.html
kmsg,Kernel log,https://fr.wikipedia.org/wiki/Dmesg
koka,Koka,https://koka-lang.github.io/koka/doc/index.html
kotlin,Kotlin,http://kotlinlang.org/
kql,Kusto,https://learn.microsoft.com/en-us/azure/data-explorer/kusto/query
kuin,Kuin,https://github.com/kuina/Kuin
lasso,Lasso,https://www.lassosoft.com
ldapconf,LDAP configuration file,https://www.openldap.org/software//man.cgi?query=ldap.conf&sektion=5&apropos=0&manpath=OpenLDAP+2.4-Release
ldif,LDIF,https://datatracker.ietf.org/doc/html/rfc2849
lean,Lean,https://leanprover-community.github.io/lean3
lean4,Lean4,https://github.com/leanprover/lean4
less,LessCss,http://lesscss.org/
lighttpd,Lighttpd configuration file,http://lighttpd.net/
lilypond,LilyPond,https://lilypond.org
limbo,Limbo,http://www.vitanuova.com/inferno/limbo.html
liquid,liquid,https://www.rubydoc.info/github/Shopify/liquid
